name,score,document_length,url_count,components,flat panel display,fpd,parts,pcb,printed circuit board,semiconductor,touch panel
NICHING INDUSTRIAL CORPORATION,0.5694160869392099,622,7,0,2,1,0,4,1,12,1
Eagle Mountain Corp,0.44929713402343496,5976,8,0,0,0,26,0,0,17,0
Jadason Enterprises Limited,0.29828682463394696,2887,7,0,0,0,0,14,11,7,0
Alltek Technology Corp.,0.29457563812674564,2771,4,15,0,0,0,3,0,3,0
"Howteh Technology Co., Ltd.",0.26640440801660104,1717,2,1,0,0,1,2,2,3,3
Naigai Tec Corporation,0.2518118438351704,3358,6,1,2,7,0,0,0,18,0
Surge Components Inc,0.20721341950226652,2930,8,18,0,0,0,0,1,15,0
Tokyo Electron Device Ltd,0.1578070269881341,4745,9,2,4,2,0,1,0,30,0
"Trust-Search Corp.,Ltd.",0.14303669660334603,4273,6,0,0,0,1,5,15,0,0
Taitron Components Inc.,0.14027818868937322,1473,8,11,0,0,0,0,0,12,0
"Omphalos, Corp.",0.11586879367237958,4492,8,0,0,0,0,8,12,2,0
Tokai Electronics Co Ltd,0.11458364602432419,5859,15,2,0,0,0,22,1,34,3
"Richardson Electronics, Ltd.",0.07961226868284597,4753,5,1,0,3,0,1,0,14,0
TOMEN DEVICES CORPORATION,0.0689587298037554,1998,4,1,0,0,1,0,0,19,0
Edom Technology Co Ltd,0.06432173548284552,2786,3,0,0,0,0,3,1,7,1
LITE-ON JAPAN LTD.,0.05388406013876103,4103,4,1,0,0,1,0,0,16,1
WPG Holdings Limited,0.05230988203177468,1800,8,3,0,0,0,0,0,21,0
Shinden Hightex Corp,0.04197681751967952,1525,10,0,0,0,0,0,1,20,2
MARUBUN CORPORATION,0.03473696735702889,2561,6,0,0,0,1,0,0,18,0
"Ryosan Company, Limited",0.026940538649444006,2136,9,1,0,0,0,1,0,23,0
Laird PLC,0.025099969692532018,10512,5,5,0,0,0,6,0,0,0
Promate Electronic Co Ltd,0.024611498418238478,2515,6,0,0,0,0,3,0,9,0
"KYOEI SANGYO CO., LTD.",0.023962878317113315,2438,5,0,0,0,0,1,1,9,0
Wuhan P&S Information Technology Co Ltd,0.023073705340790177,3850,4,3,0,0,0,0,0,6,0
ASEC International Corporation,0.022431203420279763,3348,8,0,0,0,0,3,0,17,0
Daetwyler Holding AG,0.018953990795949,2670,2,3,0,0,0,0,0,0,0
Professional Computer Technology Ltd,0.018577600991899108,1798,3,0,0,0,0,0,0,10,2
Vitec Holdings Co Ltd,0.013169624931965171,2368,8,1,0,0,0,0,0,21,0
Chander Electronics Corp.,0.012522927045647014,2713,4,0,0,0,0,0,0,7,1
Z-Obee Holdings Ltd,0.011749728016309543,2130,2,0,0,0,0,1,1,0,0
"V-Tac Technology Co., Ltd.",0.009834543811016306,3733,5,0,0,0,0,0,0,9,1
SUNNIC Technology & Merchandise Inc.,0.009625729572412048,3524,5,1,0,0,0,0,0,11,0
Siltrontech Electronics Corporation,0.009269362815486102,4477,2,1,0,0,0,0,0,14,0
MetaTech (AP) Inc.,0.008378783146754581,3715,2,1,0,0,0,0,0,3,0
Serial System Ltd (TDR),0.00791860452853582,9034,7,3,0,0,0,0,0,7,0
Galaxy Far East Corp,0.005626874015948929,3124,6,0,0,0,0,0,0,31,0
Renesas Easton Co Ltd,0.005060150710601516,1886,7,0,0,0,0,0,0,20,0
"WT Microelectronics Co., Ltd.",0.004849511500968413,2107,8,0,0,0,0,0,0,24,0
Promaster Technology Corp.,0.004086170323859235,1827,5,0,0,0,0,0,0,19,0
Advanced Digital Chips Inc,0.0040096666955799325,2977,7,0,0,0,0,0,0,23,0
Premier Farnell plc,0.003649392123585959,4718,3,0,0,0,0,1,0,3,0
AV Concept Holdings Limited,0.0035754669940580098,3121,6,0,0,0,0,0,0,21,0
Congatec Holding AG - ADR,0.003241152374391524,69496,8,1,0,0,0,1,1,50,0
InfoSonics Corporation,0.0031619709505577697,4632,1,0,0,0,0,0,1,1,0
Sentronic International Corp,0.0031342084286797296,8330,3,1,0,0,0,1,0,1,0
"SANSHIN ELECTRONICS CO., LTD.",0.0030497347663393944,1637,3,0,0,0,0,0,0,10,0
Zenitron Corp,0.002942569771686579,2545,7,0,0,0,0,0,0,22,0
Gold Tat Group International Ltd,0.0027382638735633487,2942,1,0,0,0,0,0,0,0,1
Ryoyo Electro Corp,0.0026120724483714055,4629,5,0,0,0,0,0,0,24,0
"MITACHI CO., LTD",0.002484057037977068,3938,7,0,0,0,0,0,0,19,0
"Supreme Electronics Co., Ltd.",0.0023165033930666423,3250,5,0,0,0,0,0,0,12,0
S.A.S. Dragon Holdings Limited,0.0022443153840283614,4077,6,0,0,0,0,0,0,17,0
"TAKACHIHO KOHEKI CO., LTD.",0.0022164346874510117,3856,7,0,0,0,0,0,0,16,0
Koryo Electronics Co Ltd,0.0017686831292537037,3635,4,0,0,0,0,0,0,12,0
KUEN CHAANG UPPERTECH CORP.,0.0016631141396486245,5363,7,0,0,0,0,0,0,17,0
Serial System Ltd,0.001557648833268949,4331,3,0,0,0,0,0,0,13,0
North Asia Strategic Holdings Ltd,0.0014910841449192974,2484,1,0,0,0,0,1,0,0,0
Dragon Group International Limited,0.0013524536544496605,2243,4,0,0,0,0,0,0,7,0
KANADEN CORPORATION,0.001321484047156201,2383,5,0,0,0,0,0,0,6,0
Podak Co Ltd,0.0011781411246462269,2602,5,0,0,0,0,0,0,8,0
Excel Co Ltd,0.0010847613494517241,3151,3,0,0,0,0,0,0,7,0
NIPPO LTD.,0.0008704068050998736,1804,2,0,0,0,0,0,0,3,0
"HAGIWARA ELECTRIC CO., LTD.",0.0006912803358233137,2525,2,0,0,0,0,0,0,4,0
Perfect Optronics Ltd,0.0006248391917835498,2943,2,0,0,0,0,0,0,4,0
Shenzhen Huakong Seg Co Ltd,0.0006068099226360976,3762,2,0,0,0,0,0,0,4,0
Mobicon Group Limited,0.0005123934513695319,4635,2,0,0,0,0,0,0,5,0
NICHIDENBO CORPORATION,9.987893838699915e-05,2993,1,0,0,0,0,0,0,1,0
"Ryoden Trading Company, Limited",3.533931256513973e-05,4981,1,0,0,0,0,0,0,1,0
