name,score,document_length,url_count,bicycle,bike,process
Vietnam Manufacturing and Export Limited,0.5692600589427641,2779,7,0,25,38
Ideal Bike Corporation,0.3229151300458384,3542,9,68,112,0
Merida Industry Co Ltd,0.3201718700820803,9184,11,53,166,8
National Metallic and Bicycles Indus,0.2862128699137045,5364,8,105,113,0
Ste Euro Cycles SA,0.2690884447198794,33413,10,273,771,11
"Samchuly Bicycle Co., Ltd.",0.24307876422672756,4036,9,107,52,0
Giant Manufacturing Co Ltd,0.21288161845379128,7014,12,75,68,1
Alton Sports Co Ltd,0.20336692054677508,3830,7,90,39,0
SHIMANO INC.,0.17489321639888175,6760,7,53,58,3
Tandem Group plc,0.15599552338877412,4176,7,25,7,6
Sanyang Motor Co Ltd,0.1426010338814429,5861,9,4,13,10
HL Corp. (Shenzhen),0.13676318860615944,3679,10,22,44,2
Atlas Cycles (Haryana) Ltd,0.11666220719228956,1923,7,12,25,0
Joy Industrial Co Ltd,0.11631522338132542,3769,7,20,27,1
"Jinshan Development & Cons. Co., Ltd.",0.11224591606261451,2924,4,27,7,1
China Jialing Industrial Co Ltd (Group),0.08665135922979907,5720,9,31,50,2
Bicicletas Monark SA,0.07171004438338266,2181,8,16,13,0
China Bicycle Co Holdings Ltd,0.0679387790940309,1916,7,48,0,0
Zhonglu Co Ltd,0.06745872675934052,3529,7,16,2,3
"Lee Chi Enterprises Co., Ltd.",0.06550088453027111,3397,7,13,0,3
Accell Group N.V.,0.05355251750380246,2813,10,16,20,0
Hero Motocorp Ltd,0.04758659346841376,9307,10,0,34,5
Sun Race Sturmey-Archer Inc.,0.03577666942110022,5508,6,18,12,1
Amanasu Techno Holdings Corp,0.03361326811152815,7218,3,0,0,13
"Yamaha Motor Co., Ltd.",0.027890765965414194,5131,4,7,23,0
"Chongqing Jianshe Motorcycle Co., Ltd",0.022153561955793544,4738,6,2,3,4
Pihsiang Machinery MFG Co Ltd,0.017535380426048255,3626,4,5,0,1
ZAP,0.010755334055785855,5417,2,0,0,3
KR Motors Co Ltd,0.005192494574193787,2883,3,0,5,0
