name,score,document_length,url_count,connector,electrical,pcb
TE Connectivity Ltd,0.8524259922332014,6675,12,200,10,2
Promate Electronic Co Ltd,0.3185950023815733,2511,9,13,5,3
Laird PLC,0.22180131345157775,10516,12,41,10,6
SUN-WA TECHNOS CORPORATION,0.22178374817491162,2471,11,15,11,2
Yleiselektroniikka Oyj,0.14396959160670098,3688,9,8,4,1
"Howteh Technology Co., Ltd.",0.08321701193713191,2517,9,4,0,3
Edom Technology Co Ltd,0.0822332563990393,2787,6,1,9,3
SUZUDEN CORPORATION,0.08086095918936569,1935,8,4,9,0
Serial System Ltd,0.06329576159745792,4333,11,3,34,0
Premier Farnell plc,0.060559267763441324,4720,13,3,14,1
MetaTech (AP) Inc.,0.06017052993457823,3717,8,4,11,0
Podak Co Ltd,0.056218661838588924,2040,9,3,8,0
Stokes Ltd,0.05599186926715028,4602,12,6,6,0
Vietnam Electric Cable Corp,0.04757522977008961,3667,8,1,43,0
Pierides Holdings Plc,0.039980915524287855,4178,9,0,54,0
Wuhan P&S Information Technology Co Ltd,0.0377107542042738,4226,9,11,0,0
S.A.S. Dragon Holdings Limited,0.03527425298371808,4088,8,3,9,0
"Avnet, Inc.",0.03356066479656778,8793,13,6,10,0
"ZHONGYEDA ELECTRIC CO.,LTD.",0.03178878429920352,2958,8,1,18,0
ASEC International Corporation,0.029167814877245006,3193,9,0,1,3
"HAGIWARA ELECTRIC CO., LTD.",0.02490764381129213,2523,9,5,0,0
"SENSHU ELECTRIC CO., LTD.",0.023899251730655807,3035,10,1,16,0
KANADEN CORPORATION,0.021098082545936456,2531,7,1,6,0
Alltek Technology Corp.,0.02087949609383425,2756,9,0,0,3
PALTEK CORPORATION,0.020748026292746795,2925,12,4,0,0
"KYOEI SANGYO CO., LTD.",0.01719541798728466,2497,9,0,3,1
MARUBUN CORPORATION,0.017159551551637012,2556,8,3,0,0
"TANAKA CO., LTD.",0.017068904166006687,3488,9,1,15,0
Sakae Electronics Corporation,0.01697021322743091,3298,8,0,18,0
"Trust-Search Corp.,Ltd.",0.016940450380783706,4301,9,0,0,5
Elematec Corporation,0.015609632035558095,2237,10,1,6,0
Solomon Technology Corporation,0.013896935030706983,3667,13,0,5,1
"Ryosan Company, Limited",0.01343566233411667,2352,9,1,0,1
Malmbergs Elektriska AB,0.01258692472197901,2953,9,0,12,0
EACO Corp,0.012571663993491506,3664,9,3,0,0
Tokyo Electron Device Ltd,0.011723697541848313,4752,11,2,1,1
Houston Wire & Cable Company,0.008619136278455062,2958,9,0,12,0
Daetwyler Holding AG,0.007391883589359221,2667,8,1,1,0
"MAXTEK TECHNOLOGY CO., LTD.",0.007349271113340981,2063,8,0,5,0
NICHING INDUSTRIAL CORPORATION,0.005830390793131952,822,9,0,0,1
Anixter International Inc.,0.005599804682550694,6883,15,2,19,0
OEM International AB,0.0046781777190546825,4462,8,0,9,0
"SANSHIN ELECTRONICS CO., LTD.",0.003774083260563615,2085,8,1,0,0
WPG Holdings Limited,0.003519517154894389,1784,9,1,0,0
Naigai Tec Corporation,0.0034512717215777556,2897,8,0,4,0
"V-Tac Technology Co., Ltd.",0.0032097872049828475,3730,9,0,4,0
Hailiang International Holdings Ltd,0.0031629198817499835,1870,7,0,3,0
MANSEI CORPORATION,0.0030726115839925378,5711,9,0,6,0
Honey Hope Honesty Enterprise Co Ltd,0.0028904877138032853,5216,12,0,6,0
Chander Electronics Corp.,0.0028501271387617656,2875,10,1,0,0
Solar A/S,0.0027282974441449684,2147,9,0,3,0
Dragon Group International Limited,0.002614073830785489,2990,11,0,3,0
"Techno Alpha Co., Ltd.",0.002419034385144113,3311,10,1,0,0
Sentronic International Corp,0.002085947920963734,4174,9,0,0,1
Tokai Electronics Co Ltd,0.001996225905625568,2846,9,0,3,0
JC Hyun Systems Inc,0.001621601996645279,4792,11,0,5,0
"ScanSource, Inc.",0.0016207906458386824,4066,12,0,0,1
Tech Data Corp,0.0014926457361581667,4574,14,1,0,0
NIPPO LTD.,0.0011627944995982898,939,8,0,1,0
Professional Computer Technology Ltd,0.0005500036361300894,2188,9,0,1,0
Korea Information Engineering Services,0.0005245089688260767,2356,7,0,1,0
Xander International Corp.,0.00045251764876516723,3417,13,0,1,0
Pobis TNC Co Ltd,0.00041576099041306145,3027,9,0,1,0
BOS Better OnLine Sol (USA),0.00037327984343698585,3138,8,0,1,0
Samart I-Mobile PCL,0.00035230097054531854,2990,8,0,1,0
Innovative Technology Development Corp,0.0002948109673889753,5159,10,0,1,0
KUEN CHAANG UPPERTECH CORP.,0.00027096271599796987,5072,7,0,1,0
